Date,Amount,Category,Description
2024-01-01,3500.00,Salary,Monthly Paycheck - January
2024-01-03,-1200.00,Rent,Monthly Rent Payment
2024-01-05,-85.42,Grocery,Whole Foods Market
2024-01-07,-45.00,Gas,Shell Gas Station
2024-01-08,-12.99,Subscription,Netflix Monthly
2024-01-10,-67.23,Grocery,Trader Joe's
2024-01-12,-35.50,Restaurant,Chipotle
2024-01-14,-150.00,Utility,Electric Bill
2024-01-15,250.00,Income,Freelance Web Design
2024-01-17,-23.45,Shopping,Amazon - Household Items
2024-01-18,-52.00,Gas,Chevron
2024-01-20,-78.90,Grocery,Costco
2024-01-22,-28.00,Entertainment,Movie Tickets
2024-01-24,-9.99,Subscription,Spotify
2024-01-25,-42.30,Restaurant,Thai Kitchen
2024-01-27,-95.00,Healthcare,Doctor Copay
2024-01-28,125.00,Income,Sold Items on eBay
2024-01-30,-55.00,Utility,Internet Bill
2024-02-01,3500.00,Salary,Monthly Paycheck - February
2024-02-02,-1200.00,Rent,Monthly Rent Payment
2024-02-04,-92.15,Grocery,Whole Foods Market
2024-02-06,-38.00,Gas,Shell Gas Station
2024-02-08,-12.99,Subscription,Netflix Monthly
2024-02-10,-15.99,Subscription,Disney+
2024-02-12,-89.50,Shopping,Target
2024-02-14,-120.00,Restaurant,Valentine's Dinner
2024-02-16,-145.00,Utility,Electric Bill
2024-02-18,-71.23,Grocery,Safeway
2024-02-20,500.00,Income,Tax Refund
2024-02-22,-49.00,Gas,BP Station
2024-02-24,-33.25,Restaurant,Panera Bread
2024-02-26,-200.00,Healthcare,Dentist Visit
2024-02-28,-60.00,Utility,Water Bill
2024-03-01,3500.00,Salary,Monthly Paycheck - March
2024-03-03,-1200.00,Rent,Monthly Rent Payment
2024-03-05,-105.60,Grocery,Whole Foods Market
2024-03-07,-42.00,Gas,Costco Gas
2024-03-09,-12.99,Subscription,Netflix Monthly
2024-03-11,-250.00,Shopping,New Running Shoes
2024-03-13,-65.40,Restaurant,Sushi Place
2024-03-15,1200.00,Income,Quarterly Bonus
2024-03-17,-88.00,Grocery,Trader Joe's
2024-03-19,-140.00,Utility,Electric Bill
2024-03-21,-55.00,Entertainment,Concert Tickets
2024-03-23,-47.50,Gas,Shell Gas Station
2024-03-25,-29.99,Subscription,Gym Membership
2024-03-27,-72.00,Restaurant,Italian Bistro
2024-03-29,-45.00,Transportation,Uber Rides
2024-03-31,-55.00,Utility,Internet Bill
